QC Date,QC Type,Inspector,Year,Method,POINT_X,POINT_Y,River_Mile,Restoration_RM,1000ftbreak,UCC Relate,PW Location,PW Relate,DATE,SPECIES,Survey,REACH,REDD_ID,AGE,REDD_LOC,GRAVEL,INJ_SITE,PRE_SUB,SIDE_SUB,TAIL_SUB,Fish_on_RE,MEASURE,WHY_NOT_ME,DATE_MEA,PRE_in,PIT_in,Tail_in,LENGTH_in,WIDTH_in,Velocity,FLOW_DEVIC,Bomb_ID,START_60,END_60,SEC_60,START_80,END_80,SECS_80,Bomb_vel60,Bomb_vel80,COMMENTS,Survey 2 Age,Survey 3 Age,Survey 4 Age,Survey_5_Age,Survey_6_Age,Survey_7_Age,Survey_8_Age,Survey_9_Age,Date 1,Age 1,Date 2 ,Age 2,Date 3 ,Age 3,Date 4,Age 4,Date 5,Age 5,Date 6,Age 6,Date 7,Age 7,Date 8,Age 8,Date 9,Age 9,Run,Reach,Date, Age,Survey
4/6/2022,,GM,2020,Snorkel,-122.5214625,40.51051447,10.6323467,,,,8.2,Above,10/6/2020,Chinook,,,,2,,Native,,1-2,1-2,1-2,,,,,9,14,7,109,50,,,,109000,111613,100,,,,,,,,,,,,,,,10/6/2020,2,,,,,,,,,,,,,,,,,,,,,
4/6/2022,,GM,2020,Snorkel,-122.5213874,40.51051245,10.62830027,,,,8.2,Above,10/6/2020,Chinook,,,,3,,Injection,,1-2,1-2,1-2,,,,,21,30,18,172,111,,,,112000,115476,100,,,,,,,4,,,,,,,,10/6/2020,3,10/28/2020,4,,,,,,,,,,,,,,,,,,,
4/6/2022,,GM,2020,Snorkel,-122.5179572,40.51027144,10.44107676,,,,8.2,Above,10/6/2020,Chinook,,,,3,,Injection,,1-2,1-2,1-2,,,,,31,32,14,,127,,,,116000,118453,100,118000,121726,100,,,,,,,,,,,,10/6/2020,3,,,,,,,,,,,,,,,,,,,,,
4/6/2022,,GM,2020,Snorkel,-122.519693,40.51027688,10.53404524,,,,8.2,Above,10/6/2020,Chinook,,,,2,,Injection,,1-2,1-2,1-2,,,,,18,26,13,96,69,,,,122000,123321,100,,,,,,,4,,,,,,,,10/6/2020,2,10/28/2020,4,,,,,,,,,,,,,,,,,,,
4/6/2022,,GM,2020,Snorkel,-122.5196919,40.51028481,10.5343996,,,,8.2,Above,10/6/2020,Chinook,,,,3,,Injection,,1-2,1-2,1-2,,,,,14,18,10,209,73,,,,124000,126459,100,,,,,,,4,,,,,,,,10/6/2020,3,10/28/2020,4,,,,,,,,,,,,,,,,,,,
4/6/2022,,GM,2020,Snorkel,-122.5147371,40.50835212,10.14426935,,,,8.2,Above,10/6/2020,Chinook,,,,3,,Injection,,1-2,1-2,1-2,,,,,24,29,10,204,132,,,,127000,129669,100,,,,,,,4,,,,,,,,10/6/2020,3,10/28/2020,4,,,,,,,,,,,,,,,,,,,
4/6/2022,,GM,2020,Snorkel,-122.5147307,40.50827735,10.13911053,,,,8.2,Above,10/6/2020,Chinook,,,,3,,Injection,,1-2,1-2,1-2,,,,,18,24,12,224,181,,,,130000,133774,100,,,,,,,4,,,,,,,,10/6/2020,3,10/28/2020,4,,,,,,,,,,,,,,,,,,,
4/6/2022,,GM,2020,Snorkel,-122.5146596,40.50803281,10.12208475,,,,8.2,Above,10/6/2020,Chinook,,,,3,,Injection,,1-2,1-2,1-2,,,,,15,20,10,218,84,,,,134000,136229,100,,,,,,,,,,,,,,,10/6/2020,3,,,,,,,,,,,,,,,,,,,,,
4/6/2022,,GM,2020,Snorkel,-122.5070454,40.50349297,9.57476287,,,,8.2,Above,10/6/2020,Chinook,,,,3,,Injection,,1-2,2-3,1-2,,,,,18,25,10,179,146,,,,136000,139343,100,,,,,,,4,,,,,,,,10/6/2020,3,10/28/2020,4,,,,,,,,,,,,,,,,,,,
4/6/2022,,GM,2020,Snorkel,-122.5057131,40.50307635,9.498791587,,,,8.2,Above,10/6/2020,Chinook,,,,2,,Injection,,1-2,1-2,1-2,,,,,38,45,19,242,154,,,,140000,142728,100,144000,146917,100,,,,,,,,,,,,10/6/2020,2,,,,,,,,,,,,,,,,,,,,,
