QC Date,QC Type,Inspector,Year,Method,POINT_X,POINT_Y,River_Mile,Restoration_RM,1000ftbreak,UCC Relate,PW Location,PW Relate,DATE,SPECIES,Survey,REACH,REDD_ID,AGE,REDD_LOC,GRAVEL,INJ_SITE,PRE_SUB,SIDE_SUB,TAIL_SUB,Fish_on_RE,MEASURE,WHY_NOT_ME,DATE_MEA,PRE_in,PIT_in,Tail_in,LENGTH_in,WIDTH_in,Velocity,FLOW_DEVIC,Bomb_ID,START_60,END_60,SEC_60,START_80,END_80,SECS_80,Bomb_vel60,Bomb_vel80,COMMENTS,Survey 2 Age,Survey 3 Age,Survey 4 Age,Survey_5_Age,Survey_6_Age,Survey_7_Age,Survey_8_Age,Survey_9_Age,Date 1,Age 1,Date 2 ,Age 2,Date 3 ,Age 3,Date 4,Age 4,Date 5,Age 5,Date 6,Age 6,Date 7,Age 7,Date 8,Age 8,Date 9,Age 9,Run,Reach,Date, Age,Survey
4/6/2022,,GM,2021,Snorkel,-122.5460259,40.59110136,17.656,17.994,,,8.2,Above,9/7/2021,Chinook,,R1,,2,,Injection,,2-3,1-2,1-2,,,,,6,19,5,170,55,,,,0,2049,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/6/2022,,GM,2021,Snorkel,-122.5459356,40.59108293,17.655,17.992,,,8.2,Above,9/7/2021,Chinook,,R1,,2,,Injection,,2-3,2-3,2-3,,,,,21,28,13,140,45,,,,2000,5427,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/6/2022,,GM,2021,Snorkel,-122.5461285,40.58917853,17.519,17.855,,,8.2,Above,9/7/2021,Chinook,,R1,,2,,Injection,,2-3,1-2,1-2,,,,,12,20,7,270,55,,,,9000,12088,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/6/2022,,GM,2021,Snorkel,-122.5481487,40.58474746,16.868,17.164,,,8.2,Above,9/7/2021,Chinook,,R1,,2,,Injection,,1-2,1-2,1-2,,,,,21,27,14,210,94,,,,12000,13663,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/6/2022,,GM,2021,Snorkel,-122.5478387,40.58488584,16.851,17.148,,,8.2,Above,9/7/2021,Chinook,,R1,,2,,Injection,,1-2,1-2,1-2,,,,,14,23,9,115,45,,,,13000,15359,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/6/2022,,GM,2021,Snorkel,-122.540907,40.58181356,16.418,16.716,,,8.2,Above,9/7/2021,Chinook,,R1,,2,,Combination,,2-3,1-2,1-2,,,,,25,29,18,210,98,,,,898000,900900,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/6/2022,,GM,2021,Snorkel,-122.5407829,40.58175538,16.410,16.709,,,8.2,Above,9/7/2021,Chinook,,R1,,2,,Combination,,1-2,2-3,1-2,,,,,16,22,14,190,60,,,,901000,903957,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/6/2022,,GM,2021,Snorkel,-122.5405594,40.58149058,16.392,16.691,,,8.2,Above,9/7/2021,Chinook,,R1,,2,,Combination,,1-2,1-2,1-2,,,,,,,,,,,,,,,,,,,,,NO MEASUREMENTS TAKEN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/6/2022,,GM,2021,Snorkel,-122.5458976,40.59221721,17.734,18.071,,,8.2,Above,9/7/2021,Chinook,,R1,,2,,Injection,,1-2,1-2,0.1 - 1,,,,,,,,,,,,,,,,,,,,,DEPTH 5 ' + NO MEASUREMENTS TAKEN TOOK PICTURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/6/2022,,GM,2021,Snorkel,-122.5459438,40.59125948,17.667,18.004,,,8.2,Above,9/7/2021,Chinook,,R1,,2,,Injection,,2-3,2-3,2-3,,,,,18,21,12,120,50,,,,5000,9090,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/6/2022,,GM,2021,Snorkel,-122.5507264,40.58615912,17.194,17.530,,,8.2,Above,9/7/2021,Chinook,,R1,,2,,Injection,,1-2,1-2,1-2,,,,,17,21,9,230,59,,,,88810,8070,100,,,,,,had forgotten to put to the thousand ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/6/2022,,GM,2021,Snorkel,-122.551415,40.58537451,17.129,17.466,,,8.2,Above,9/7/2021,Chinook,,R1,,2,,Injection,,1-2,1-2,1-2,,,,,10,15,5,157,38,,,,892500,894953,100,,,,,,had forgotten to put to the thousand ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/6/2022,,GM,2021,Snorkel,-122.5513479,40.58547459,17.137,17.473,,,8.2,Above,9/7/2021,Chinook,,R1,,2,,Injection,,2-3,1-2,1-2,,,,,17,23,9,190,120,,,,890800,892502,100,,,,,,had forgotten to put to the thousand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/6/2022,,GM,2021,Snorkel,-122.5513898,40.5853312,17.127,17.463,,,8.2,Above,9/7/2021,Chinook,,R1,,2,,Injection,,1-2,1-2,1-2,,,,,28,36,21,160,57,,,,895000,898440,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/6/2022,,GM,2021,Snorkel,-122.5415695,40.58198414,16.454,16.752,,,8.2,Above,9/7/2021,Chinook,,R1,,2,,Injection,,2-3,2-3,2-3,,,,,10,16,7,125,45,,,,15000,17640,100,,,,,,PARTIAL REDD UPSTREAM ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/6/2022,,GM,2021,Snorkel,-122.5410003,40.58186679,16.424,16.723,,,8.2,Above,9/7/2021,Chinook,,R1,,2,,Combination,,2-3,2-3,2-3,,,,,30,37,24,180,51,,,,17000,19781,100,19000,22051,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/6/2022,,GM,2021,Snorkel,-122.5406429,40.58154247,16.398,16.695,,,8.2,Above,9/7/2021,Chinook,,R1,,2,,Combination,,1-2,1-2,2-3,,,,,14,18,11,108,46,,,,22000,23717,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/6/2022,,GM,2021,Snorkel,-122.5404684,40.58148522,16.388,16.686,,,8.2,Above,9/7/2021,Chinook,,R1,,2,,Combination,,2-3,2-3,2-3,,,,,,,,,,,,,,,,,,,,,NO MEASUREMENTS TAKEN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/6/2022,,GM,2021,Snorkel,-122.5385505,40.57924505,16.165,16.463,,,8.2,Above,9/17/2021,Chinook,Survey 1,R2,,2,,Combination,,1-2,2-3,2-3,,,,,10,12,9,103,67,,,,904000,905567,100,,,,,,Only measured first redd for time management ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/6/2022,,GM,2021,Snorkel,-122.538541,40.57923626,16.164,16.462,,,8.2,Above,9/17/2021,Chinook,Survey 1,R2,,2,,Combination,,1-2,1-2,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/6/2022,,GM,2021,Snorkel,-122.5385957,40.57920169,16.163,16.462,,,8.2,Above,9/17/2021,Chinook,Survey 1,R2,,2,,Combination,,2-3,2-3,2-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/6/2022,,GM,2021,Snorkel,-122.5386119,40.57916551,16.161,16.460,,,8.2,Above,9/17/2021,Chinook,Survey 1,R2,,2,,Combination,,1-2,1-2,1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
