JPE_redd_id,date,survey_method,longitude,latitude,survey,river_mile,x1000ftbreak,ucc_relate,picket_weir_location,picket_weir_relation,surveyed_reach,species,redd_loc,age,age_index,gravel,inj_site,pre_redd_substrate_size,redd_substrate_size,tail_substrate_size,fish_on_redd,measured,why_not_measured,date_measured,pre_redd_depth,redd_pit_depth,redd_tail_depth,velocity,start_60,end_60,sec_60,start_80,end_80,secs_80,bomb_vel60,bomb_vel80,run,redd_length,redd_width
2000_1,2000-09-25,snorkel,-122.540410799,40.5815580841,NA,16.387227354128786,87000,above,8.2,above,R1,Chinook,NA,NA,0,native,paige bar,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2000_2,2000-10-13,snorkel,-122.540395102,40.5816040944,NA,16.387172759166667,87000,above,8.2,above,R1,Chinook,NA,NA,0,native,paige bar,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2000_3,2000-09-26,snorkel,-122.538052374,40.5788304157,NA,16.125471642121212,86000,above,8.2,above,R2,Chinook,NA,NA,0,native,above need camp,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2000_4,2000-09-26,snorkel,-122.533772429,40.5739386758,NA,15.585668058920456,83000,above,8.2,above,R2,Chinook,NA,NA,0,native,guardian rock,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2000_5,2000-09-26,snorkel,-122.530868933,40.5623919746,NA,14.701589537556819,78000,above,8.2,above,R2,Chinook,NA,NA,0,native,guardian rock,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2000_6,2000-09-26,snorkel,-122.530346822,40.5659742186,NA,14.961678040170453,80000,above,8.2,above,R2,Chinook,NA,NA,0,native,guardian rock,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2000_7,2000-10-18,snorkel,-122.520668324,40.5104912207,NA,10.591052278825757,57000,above,8.2,above,R4,Chinook,NA,NA,0,native,placer,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2000_8,2000-09-28,snorkel,-122.520593042,40.510407865,NA,10.585654986325759,57000,above,8.2,above,R4,Chinook,NA,NA,0,native,placer,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2000_9,2000-10-18,snorkel,-122.484914948,40.492610563,NA,7.5723004365151505,41000,below,8.2,below,R5,Chinook,NA,NA,0,native,reading bar,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000_10,2000-10-18,snorkel,-122.484914948,40.492610563,NA,7.5723004365151505,41000,below,8.2,below,R5,Chinook,NA,NA,0,native,reading bar,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001_11,2001-10-22,snorkel,-122.549813742,40.5847941638,NA,16.95624864869318,90000,above,8.2,above,R1,Chinook,NA,NA,0,native,paige bar,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2001_12,2001-10-22,snorkel,-122.543875239,40.5929753075,NA,17.853527991022727,95000,above,8.2,above,R1,Chinook,NA,NA,0,native,whiskeytown,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
