JPE_redd_id,date,survey_method,longitude,latitude,survey,river_mile,x1000ftbreak,ucc_relate,picket_weir_location,picket_weir_relation,surveyed_reach,species,redd_loc,age,age_index,gravel,inj_site,pre_redd_substrate_size,redd_substrate_size,tail_substrate_size,fish_on_redd,measured,why_not_measured,date_measured,pre_redd_depth,redd_pit_depth,redd_tail_depth,velocity,start_60,end_60,sec_60,start_80,end_80,secs_80,bomb_vel60,bomb_vel80,run,redd_length,redd_width
2001_13,2001-10-22,snorkel,-122.543875239,40.5929753075,NA,17.853527991022727,95000,above,8.2,above,R1,Chinook,NA,NA,0,native,whiskeytown,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2001_14,2001-10-22,snorkel,-122.538238953,40.5973393065,NA,18.29658303185606,97000,above,8.2,above,R1,Chinook,NA,NA,0,native,whiskeytown,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2001_15,2001-10-24,snorkel,-122.53545128,40.5343297758,NA,12.601157388939395,67000,above,8.2,above,R3,Chinook,NA,NA,0,native,guardian rock,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2001_16,2001-10-24,snorkel,-122.535176019,40.5314458131,NA,12.39640010496212,66000,above,8.2,above,R3,Chinook,NA,NA,0,native,guardian rock,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2001_17,2001-10-24,snorkel,-122.532378567,40.5250782907,NA,11.884462318522727,64000,above,8.2,above,R3,Chinook,NA,NA,0,native,guardian rock,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2001_18,2001-10-23,snorkel,-122.532205949,40.5686417942,NA,15.184880609753789,81000,above,8.2,above,R2,Chinook,NA,NA,0,native,guardian rock,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2001_19,2001-10-23,snorkel,-122.532042619,40.5592436523,NA,14.470647701666666,77000,above,8.2,above,R2,Chinook,NA,NA,0,native,guardian rock,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2001_20,2001-11-14,snorkel,-122.53159109,40.5558639295,NA,14.231974288257575,76000,above,8.2,above,R2,Chinook,NA,NA,0,native,guardian rock,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2001_21,2001-10-23,snorkel,-122.531580594,40.5546366842,NA,14.145288372310606,75000,above,8.2,above,R2,Chinook,NA,NA,0,native,guardian rock,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2001_22,2001-10-23,snorkel,-122.531516737,40.555325505,NA,14.19299108280303,76000,above,8.2,above,R2,Chinook,NA,NA,0,native,guardian rock,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2001_23,2001-10-23,snorkel,-122.530881266,40.5623769241,NA,14.700240916287878,78000,above,8.2,above,R2,Chinook,NA,NA,0,native,guardian rock,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2001_24,2001-10-24,snorkel,-122.530846417,40.5223522532,NA,11.675147926874999,62000,above,8.2,above,R3,Chinook,NA,NA,0,native,guardian rock,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2001_25,2001-10-23,snorkel,-122.530324799,40.5659715683,NA,14.96107096691288,80000,above,8.2,above,R2,Chinook,NA,NA,0,native,guardian rock,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2001_26,2001-10-24,snorkel,-122.529312196,40.5194215617,NA,11.451440464659091,61000,above,8.2,above,R3,Chinook,NA,NA,0,native,guardian rock,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2001_27,2001-10-24,snorkel,-122.526858142,40.5169256805,NA,11.235357931287878,60000,above,8.2,above,R3,Chinook,NA,NA,0,native,guardian rock,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2001_28,2001-10-24,snorkel,-122.524626257,40.5139976244,NA,10.989796556761362,59000,above,8.2,above,R3,Chinook,NA,NA,0,native,guardian rock,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2001_29,2001-10-25,snorkel,-122.524514634,40.5117197247,NA,10.816303625454545,58000,above,8.2,above,R4,Chinook,NA,NA,0,native,guardian rock,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2001_30,2001-10-25,snorkel,-122.524514634,40.5117197247,NA,10.816303625454545,58000,above,8.2,above,R4,Chinook,NA,NA,0,native,guardian rock,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2001_31,2001-10-25,snorkel,-122.524514634,40.5117197247,NA,10.816303625454545,58000,above,8.2,above,R4,Chinook,NA,NA,0,native,guardian rock,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2001_32,2001-09-27,snorkel,-122.523357311,40.5114158368,NA,10.750932141780302,58000,above,8.2,above,R4,Chinook,NA,NA,0,native,guardian rock,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2001_33,2001-10-25,snorkel,-122.523274241,40.5114785568,NA,10.749738145606061,58000,above,8.2,above,R4,Chinook,NA,NA,0,native,guardian rock,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2001_34,2001-10-25,snorkel,-122.523274241,40.5114785568,NA,10.749738145606061,58000,above,8.2,above,R4,Chinook,NA,NA,0,native,guardian rock,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2001_35,2001-10-25,snorkel,-122.523274241,40.5114785568,NA,10.749738145606061,58000,above,8.2,above,R4,Chinook,NA,NA,0,native,guardian rock,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2001_36,2001-11-16,snorkel,-122.521736468,40.5106498552,NA,10.649156079564396,57000,above,8.2,above,R4,Chinook,NA,NA,0,injection,placer,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2001_37,2001-09-27,snorkel,-122.519035337,40.5101602189,NA,10.499342500681818,56000,above,8.2,above,R4,Chinook,NA,NA,0,native,placer,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2001_38,2001-10-25,snorkel,-122.517049815,40.5103806456,NA,10.393485163712121,56000,above,8.2,above,R4,Chinook,NA,NA,0,native,placer,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2001_39,2001-10-25,snorkel,-122.517049815,40.5103806456,NA,10.393485163712121,56000,above,8.2,above,R4,Chinook,NA,NA,0,native,placer,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2001_40,2001-10-25,snorkel,-122.517049815,40.5103806456,NA,10.393485163712121,56000,above,8.2,above,R4,Chinook,NA,NA,0,native,placer,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2001_41,2001-10-25,snorkel,-122.514736193,40.5096511754,NA,10.23368741751894,55000,above,8.2,above,R4,Chinook,NA,NA,0,native,placer,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2001_42,2001-10-25,snorkel,-122.514736193,40.5096511754,NA,10.23368741751894,55000,above,8.2,above,R4,Chinook,NA,NA,0,native,placer,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2001_43,2001-10-25,snorkel,-122.514161115,40.5066748645,NA,10.022315644753787,54000,above,8.2,above,R4,Chinook,NA,NA,0,native,placer,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2001_44,2001-09-27,snorkel,-122.506840372,40.5033740801,NA,9.562411346098484,51000,above,8.2,above,R4,Chinook,NA,NA,0,native,placer,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2001_45,2001-10-25,snorkel,-122.506678753,40.5033729125,NA,9.55480211346591,51000,above,8.2,above,R4,Chinook,NA,NA,0,native,placer,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2001_46,2001-10-25,snorkel,-122.506678753,40.5033729125,NA,9.55480211346591,51000,above,8.2,above,R4,Chinook,NA,NA,0,native,placer,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2001_47,2001-10-25,snorkel,-122.506678753,40.5033729125,NA,9.55480211346591,51000,above,8.2,above,R4,Chinook,NA,NA,0,native,placer,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2001_48,2001-10-25,snorkel,-122.501171277,40.4980339806,NA,8.96552628907197,48000,above,8.2,above,R4,Chinook,NA,NA,0,native,placer,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2001_49,2001-09-27,snorkel,-122.496817653,40.489997118,NA,8.28506131685606,45000,below,8.2,above,R5,Chinook,NA,NA,0,native,reading bar,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2001_50,2001-10-26,snorkel,-122.496506777,40.4921218836,NA,8.439144198200758,45000,above,8.2,above,R5,Chinook,NA,NA,0,native,clear creek road bridge,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2001_51,2001-10-26,snorkel,-122.496506777,40.4921218836,NA,8.439144198200758,45000,above,8.2,above,R5,Chinook,NA,NA,0,native,clear creek road bridge,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2001_52,2001-10-26,snorkel,-122.495581275,40.4896493871,NA,8.206406952462121,44000,below,8.2,above,R5,Chinook,NA,NA,0,native,reading bar,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2001_53,2001-10-26,snorkel,-122.495581275,40.4896493871,NA,8.206406952462121,44000,below,8.2,above,R5,Chinook,NA,NA,0,native,reading bar,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2001_54,2001-10-26,snorkel,-122.495581275,40.4896493871,NA,8.206406952462121,44000,below,8.2,above,R5,Chinook,NA,NA,0,native,reading bar,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2001_55,2001-10-26,snorkel,-122.495581275,40.4896493871,NA,8.206406952462121,44000,below,8.2,above,R5,Chinook,NA,NA,0,native,reading bar,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2001_56,2001-10-26,snorkel,-122.495581275,40.4896493871,NA,8.206406952462121,44000,below,8.2,above,R5,Chinook,NA,NA,0,native,reading bar,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2001_57,2001-10-26,snorkel,-122.495581275,40.4896493871,NA,8.206406952462121,44000,below,8.2,above,R5,Chinook,NA,NA,0,native,reading bar,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2001_58,2001-11-16,snorkel,-122.495356884,40.4896754345,NA,8.194497127083334,44000,below,8.2,below,R5,Chinook,NA,NA,0,native,reading bar,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001_59,2001-10-26,snorkel,-122.493099812,40.4901160061,NA,8.063568718314395,43000,below,8.2,below,R5,Chinook,NA,NA,0,native,reading bar,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001_60,2001-10-26,snorkel,-122.493099812,40.4901160061,NA,8.063568718314395,43000,below,8.2,below,R5,Chinook,NA,NA,0,native,reading bar,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001_61,2001-10-26,snorkel,-122.493099812,40.4901160061,NA,8.063568718314395,43000,below,8.2,below,R5,Chinook,NA,NA,0,native,reading bar,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001_62,2001-10-26,snorkel,-122.493099812,40.4901160061,NA,8.063568718314395,43000,below,8.2,below,R5,Chinook,NA,NA,0,native,reading bar,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001_63,2001-10-26,snorkel,-122.493099812,40.4901160061,NA,8.063568718314395,43000,below,8.2,below,R5,Chinook,NA,NA,0,native,reading bar,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001_64,2001-10-26,snorkel,-122.493099812,40.4901160061,NA,8.063568718314395,43000,below,8.2,below,R5,Chinook,NA,NA,0,native,reading bar,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001_65,2001-10-26,snorkel,-122.488979523,40.4919537109,NA,7.793027574905303,42000,below,8.2,below,R5,Chinook,NA,NA,0,native,reading bar,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001_66,2001-10-26,snorkel,-122.488979523,40.4919537109,NA,7.793027574905303,42000,below,8.2,below,R5,Chinook,NA,NA,0,native,reading bar,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001_67,2001-10-26,snorkel,-122.488979523,40.4919537109,NA,7.793027574905303,42000,below,8.2,below,R5,Chinook,NA,NA,0,native,reading bar,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001_68,2001-10-26,snorkel,-122.488979523,40.4919537109,NA,7.793027574905303,42000,below,8.2,below,R5,Chinook,NA,NA,0,native,reading bar,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001_69,2001-11-16,snorkel,-122.482753919,40.4928539401,NA,7.456010899753789,40000,below,8.2,below,R5,Chinook,NA,NA,0,native,reading bar,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001_70,2001-11-16,snorkel,-122.482753919,40.4928539401,NA,7.456010899753789,40000,below,8.2,below,R5,Chinook,NA,NA,0,native,reading bar,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001_71,2001-11-16,snorkel,-122.482753919,40.4928539401,NA,7.456010899753789,40000,below,8.2,below,R5,Chinook,NA,NA,0,native,reading bar,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001_72,2001-11-16,snorkel,-122.482753919,40.4928539401,NA,7.456010899753789,40000,below,8.2,below,R5,Chinook,NA,NA,0,native,reading bar,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001_73,2001-11-16,snorkel,-122.482753919,40.4928539401,NA,7.456010899753789,40000,below,8.2,below,R5,Chinook,NA,NA,0,native,reading bar,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001_74,2001-11-16,snorkel,-122.481572887,40.4929837828,NA,7.393221055359848,40000,below,8.2,below,R5,Chinook,NA,NA,0,native,reading bar,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001_75,2001-11-16,snorkel,-122.481572887,40.4929837828,NA,7.393221055359848,40000,below,8.2,below,R5,Chinook,NA,NA,0,native,reading bar,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001_76,2001-10-26,snorkel,-122.481266852,40.4928833109,NA,7.377602926875,40000,below,8.2,below,R5,Chinook,NA,NA,0,native,reading bar,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001_77,2001-10-26,snorkel,-122.481266852,40.4928833109,NA,7.377602926875,40000,below,8.2,below,R5,Chinook,NA,NA,0,native,reading bar,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001_78,2001-10-26,snorkel,-122.481266852,40.4928833109,NA,7.377602926875,40000,below,8.2,below,R5,Chinook,NA,NA,0,native,reading bar,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001_79,2001-10-26,snorkel,-122.481266852,40.4928833109,NA,7.377602926875,40000,below,8.2,below,R5,Chinook,NA,NA,0,native,reading bar,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001_80,2001-10-26,snorkel,-122.481266852,40.4928833109,NA,7.377602926875,40000,below,8.2,below,R5,Chinook,NA,NA,0,native,reading bar,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001_81,2001-10-26,snorkel,-122.481266852,40.4928833109,NA,7.377602926875,40000,below,8.2,below,R5,Chinook,NA,NA,0,native,reading bar,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001_82,2001-10-26,snorkel,-122.481266852,40.4928833109,NA,7.377602926875,40000,below,8.2,below,R5,Chinook,NA,NA,0,native,reading bar,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001_83,2001-10-26,snorkel,-122.481266852,40.4928833109,NA,7.377602926875,40000,below,8.2,below,R5,Chinook,NA,NA,0,native,reading bar,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001_84,2001-10-26,snorkel,-122.481266852,40.4928833109,NA,7.377602926875,40000,below,8.2,below,R5,Chinook,NA,NA,0,native,reading bar,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001_85,2001-11-16,snorkel,-122.479887373,40.4927329674,NA,7.301158386496212,39000,below,8.2,below,R5,Chinook,NA,NA,0,native,reading bar,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001_86,2001-10-26,snorkel,-122.478153696,40.4926080355,NA,7.164912920776515,NA,below,8.2,below,R5,Chinook,NA,NA,0,native,reading bar,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001_87,2001-10-26,snorkel,-122.471649074,40.4929478495,NA,6.624004636685606,NA,below,8.2,below,R5,Chinook,NA,NA,0,native,reading bar,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001_88,2001-10-26,snorkel,-122.471649074,40.4929478495,NA,6.624004636685606,NA,below,8.2,below,R5,Chinook,NA,NA,0,native,reading bar,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001_89,2001-10-26,snorkel,-122.471649074,40.4929478495,NA,6.624004636685606,NA,below,8.2,below,R5,Chinook,NA,NA,0,native,reading bar,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001_90,2001-10-26,snorkel,-122.471649074,40.4929478495,NA,6.624004636685606,NA,below,8.2,below,R5,Chinook,NA,NA,0,native,reading bar,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001_91,2001-10-26,snorkel,-122.471649074,40.4929478495,NA,6.624004636685606,NA,below,8.2,below,R5,Chinook,NA,NA,0,native,reading bar,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001_92,2001-09-13,snorkel,-122.459692036,40.4948294955,NA,5.807079168276515,NA,below,8.2,below,R6,Chinook,NA,NA,0,combination,r6,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002_93,2002-09-23,snorkel,-122.5515736,40.5848793,2,17.095073520397726,91000,above,8.2,above,R1,Chinook,NA,NA,0,native,above peltier,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
2002_94,2002-09-16,snorkel,-122.5513506,40.5852332,1.5,17.121634289450757,91000,above,8.2,above,R1,Chinook,NA,NA,0,native,above peltier,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spring,NA,NA
