QC Date,QC Type,Inspector,Year,Method,POINT_X,POINT_Y,River_Mile,Restoration_RM,1000ftbreak,UCC Relate,PW Location,PW Relate,DATE,SPECIES,Survey,REACH,REDD_ID,AGE,REDD_LOC,GRAVEL,INJ_SITE,PRE_SUB,SIDE_SUB,TAIL_SUB,Fish_on_RE,MEASURE,WHY_NOT_ME,DATE_MEA,PRE_in,PIT_in,Tail_in,LENGTH_in,WIDTH_in,Velocity,FLOW_DEVIC,Bomb_ID,START_60,END_60,SEC_60,START_80,END_80,SECS_80,Bomb_vel60,Bomb_vel80,COMMENTS,Survey 2 Age,Survey 3 Age,Survey 4 Age,Survey_5_Age,Survey_6_Age,Survey_7_Age,Survey_8_Age,Survey_9_Age,Date 1,Age 1,Date 2 ,Age 2,Date 3 ,Age 3,Date 4,Age 4,Date 5,Age 5,Date 6,Age 6,Date 7,Age 7,Date 8,Age 8,Date 9,Age 9,Run,Reach,Date, Age,Survey
1/10/2023,,GM,2022,Snorkel,-122.5148386,40.50821063,10.135,17.450,,,8.2,Above,9/26/2022,Chinook,,R4,,2,,Combination,,'1 - 2,'< 0.1,'1 - 2,,,,,,,,,,,,,,,,0,0,0,,,,3,4,,,,,,,,,10/6/2022,3,10/27/2022,4,,,,,,,,,,,,,,,,,
1/10/2023,,GM,2022,Snorkel,-122.5147094,40.50824211,10.137,17.268,,,8.2,Above,9/26/2022,Chinook,,R4,,2,,Combination,,'1 - 2,'1 - 2,'1 - 2,,,,,,,,,,,,,,,,0,0,0,,,,2,3,,,,,,,,,10/6/2022,2,10/27/2022,3,,,,,,,,,,,,,,,,,
1/10/2023,,GM,2022,Snorkel,-122.5070265,40.5035272,9.575,16.723,,,8.2,Above,9/26/2022,Chinook,,R4,,2,,Combination,,'1 - 2,'1 - 2,'1 - 2,,,,,27,30,20,233,120,,,,70000,72671,100,0,0,0,,,,3,4,,,,,,,,,10/6/2022,3,10/27/2022,4,,,,,,,,,,,,,,,,,
1/10/2023,,GM,2022,Snorkel,-122.5025913,40.5027517,9.329,16.062,,,8.2,Above,9/26/2022,Chinook,,R4,,2,,Combination,,'1 - 2,'1 - 2,'1 - 2,,,,,9,15,6,274,85,,,,73000,75608,100,0,0,0,,,New Redd on top of this red 10/27,2,4,,,,,,,,,10/6/2022,2,10/27/2022,4,,,,,,,,,,,,,,,,,
1/10/2023,,GM,2022,Snorkel,-122.5004086,40.49656524,8.853,15.840,,,8.2,Above,9/26/2022,Chinook,,R4,,2,,Combination,,'2 - 3,'1 - 2,'2 - 3,,,,,,,,,,,,,,,,0,0,0,,,superimposed ,3,4,,,,,,,,,10/6/2022,3,10/27/2022,4,,,,,,,,,,,,,,,,,
1/10/2023,,GM,2022,Snorkel,-122.5004112,40.49655372,8.853,15.608,,,8.2,Above,9/26/2022,Chinook,,R4,,2,,Combination,,'2 - 3,'1 - 2,'1 - 2,,,,,,,,,,,,,,,,0,0,0,,,Superimposed all looks like 1 Redd second visit ,3,4,,,,,,,,,10/6/2022,3,10/27/2022,4,,,,,,,,,,,,,,,,,
1/10/2023,,GM,2022,Snorkel,-122.5003793,40.49655252,8.852,15.608,,,8.2,Above,9/26/2022,Chinook,,R4,,2,,Combination,,'< 0.1,'2 - 3,'1 - 2,,,,,,,,,,,,,,,,0,0,0,,,,3,5,,,,,,,,,10/6/2022,3,10/27/2022,5,,,,,,,,,,,,,,,,,
1/10/2023,,GM,2022,Snorkel,-122.4969212,40.49390699,8.564,15.025,,,8.2,Above,9/26/2022,Chinook,,R5,,2,,Combination,,'2 - 3,'2 - 3,'3 - 4,,,,,,,,,,,,,,,,0,0,0,,,,3,5,,,,,,,,,10/6/2022,3,10/27/2022,5,,,,,,,,,,,,,,,,,
1/10/2023,,GM,2022,Snorkel,-122.4968096,40.49349918,8.536,14.962,,,8.2,Above,9/26/2022,Chinook,,R5,,2,,Combination,,'1 - 2,'2 - 3,'2 - 3,,,,,,,,,,,,,,,,0,0,0,,,,5,,,,,,,,,,10/27/2022,5,,,,,,,,,,,,,,,,,,,
1/10/2023,,GM,2022,Snorkel,-122.5461079,40.59178012,17.703,18.304,,,8.2,Above,10/3/2022,Chinook,,R1,,2,,Native,,'2 - 3,'2 - 3,'4 - 5,,,,,,,,,,,,,,,,0,0,0,,,composed of  headcut material FOR,5,,,,,,,,,,10/24/2022,5,,,,,,,,,,,,,,,,,,,
1/10/2023,,GM,2022,Snorkel,-122.5458246,40.58982309,17.567,17.445,0.00000,,8.2,Above,10/3/2022,Chinook,,R1,,2,,Injection,,'0.1 - 1,'0.1 - 1,'0.1 - 1,,,,,16,22,16,184,51,,,,77000,78414,100,0,0,0,,,,4,,,,,,,,,,10/24/2022,4,,,,,,,,,,,,,,,,,,,
1/10/2023,,GM,2022,Snorkel,-122.5458206,40.58974855,17.562,17.274,,,8.2,Above,10/3/2022,Chinook,,R1,,2,,Injection,,'2 - 3,'1 - 2,'1 - 2,,,,,16,23,4,230,75,,,,78000,80478,100,0,0,0,,,,4,4,,,,,,,,,10/24/2022,4,10/24/2022,4,,,,,,,,,,,,,,,,,
1/10/2023,,GM,2022,Snorkel,-122.5458726,40.58963206,17.554,16.933,,,8.2,Above,10/3/2022,Chinook,,R1,,2,,Injection,,'0.1 - 1,'0.1 - 1,'1 - 2,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/10/2023,,GM,2022,Snorkel,-122.5462372,40.5889906,17.505,15.179,,,8.2,Above,10/3/2022,Chinook,,R1,,3,,Injection,,'1 - 2,'1 - 2,'1 - 2,,,,,19,20,10,110,41,,,,80000,81597,100,0,0,0,,,Age 3 but close to age 4 10/24/22,3,,,,,,,,,,10/24/2022,3,,,,,,,,,,,,,,,,,,,
1/10/2023,,GM,2022,Snorkel,-122.5476682,40.58785615,17.393,14.755,,,8.2,Above,10/3/2022,Chinook,,R1,,2,,Combination,,'1 - 2,'1 - 2,'1 - 2,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/10/2023,,GM,2022,Snorkel,-122.5516241,40.58481439,17.090,13.980,,,8.2,Above,10/3/2022,Chinook,,R1,,2,,Native,,'0.1 - 1,'1 - 2,'3 - 4,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/10/2023,,GM,2022,Snorkel,-122.5516013,40.58477164,17.088,13.524,,,8.2,Above,10/3/2022,Chinook,,R1,,2,,Native,,'1 - 2,'2 - 3,'2 - 3,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/10/2023,,GM,2022,Snorkel,-122.5473407,40.5848281,16.825,11.561,,,8.2,Above,10/3/2022,Chinook,,R1,,3,,Injection,,'1 - 2,'1 - 2,'1 - 2,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/10/2023,,GM,2022,Snorkel,-122.5416875,40.58203636,16.462,10.476,,,8.2,Above,10/3/2022,Chinook,,R1,,2,,Native,,'0.1 - 1,'1 - 2,'1 - 2,,,,,,,,,,,,,,,,0,0,0,,,,4,,,,,,,,,,10/24/2022,4,,,,,,,,,,,,,,,,,,,
1/10/2023,,GM,2022,Snorkel,-122.5411163,40.58184289,16.429,9.390,,,8.2,Above,10/3/2022,Chinook,,R1,,2,,Native,,'0.1 - 1,'1 - 2,'1 - 2,,,,,,,,,,,,,,,,0,0,0,,,,4,,,,,,,,,,10/24/2022,4,,,,,,,,,,,,,,,,,,,
1/10/2023,,GM,2022,Snorkel,-122.5406421,40.58172138,16.402,8.534,,,8.2,Above,10/3/2022,Chinook,,R1,,2,,Combination,,'1 - 2,'1 - 2,'1 - 2,,,,,,,,,,,,,,,,0,0,0,,,,3,4,,,,,,,,,10/3/2022,3,10/24/2022,4,,,,,,,,,,,,,,,,,
1/10/2023,,GM,2022,Snorkel,-122.5324376,40.57010006,15.291,6.784,,,8.2,Above,10/4/2022,Chinook,,R2,,2,,Injection,,'1 - 2,'1 - 2,'2 - 3,,,,,,,,,,,,,,,,0,0,0,,,Fish on Redd,4,,,,,,,,,,10/25/2022,4,,,,,,,,,,,,,,,,,,,
1/10/2023,,GM,2022,Snorkel,-122.530628,40.56667041,15.015,6.707,,,8.2,Above,10/4/2022,Chinook,,R2,,2,,Injection,,'2 - 3,'1 - 2,'2 - 3,,,,,39,45,22,226,170,,,,14000,16961,100,17000,20357,100,,,,5,,,,,,,,,,10/25/2022,5,,,,,,,,,,,,,,,,,,,
1/10/2023,,GM,2022,Snorkel,-122.5300621,40.56460393,14.862,6.660,,,8.2,Above,10/4/2022,Chinook,,R2,,2,,Injection,,'1 - 2,'2 - 3,'2 - 3,,,,,,,,,,,,,,,,0,0,0,,,,4,,,,,,,,,,10/25/2022,4,,,,,,,,,,,,,,,,,,,
1/10/2023,,GM,2022,Snorkel,-122.5311897,40.54792343,13.659,6.613,,,8.2,Above,10/4/2022,Chinook,,R2,,2,,Injection,,'0.1 - 1,'3 - 4,'1 - 2,,,,,29,41,25,202,71,,,,20000,22159,100,0,0,0,,,,5,,,,,,,,,,10/25/2022,5,,,,,,,,,,,,,,,,,,,
1/10/2023,,GM,2022,Snorkel,-122.5269296,40.51691274,11.237,6.337,,,8.2,Above,9/21/2022,Chinook,,R3,,2,,Native,,,,,,,,,,,,,,,,,,,,0,0,0,,,Fish on Redd. Was incorrectly marked on 9/21 as a point generic. Corrected on 10/26 by MES. Substrate size was missed because of this.,3,4,,,,,,,,,10/7/2022,3,10/26/2022,4,,,,,,,,,,,,,,,,,
1/10/2023,,GM,2022,Snorkel,-122.5006666,40.49700008,8.886,6.216,,,8.2,Above,10/27/2022,Chinook,,R4,,2,,Combination,,'< 0.1,'1 - 2,'1 - 2,,,,,,,,,,,,,,,,0,0,0,,,FOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
