"stream","date","time","count","run","adipose_clipped","sex","passage_direction","viewing_condition","spawning_condition","jack_size","method"
"clear creek","2012-12-27","11:07:00",1,"late fall",NA,"male","down",NA,"full spawn coloration","no","video"
"clear creek","2012-12-27","12:39:00",1,"late fall",FALSE,"male","down",NA,"full spawn coloration","no","video"
"clear creek","2012-12-27","13:42:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-27","13:50:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-27","14:40:00",1,"not recorded",NA,"female","down",NA,NA,"no","video"
"clear creek","2012-12-27","17:02:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-27","19:37:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-27","20:11:00",1,"not recorded",FALSE,"male","down",NA,NA,"no","video"
"clear creek","2012-12-27","20:48:00",1,"not recorded",FALSE,"male","down",NA,NA,"yes","video"
"clear creek","2012-12-27","20:54:00",1,"not recorded",FALSE,"male","down",NA,NA,"yes","video"
"clear creek","2012-12-27","21:06:00",1,"not recorded",FALSE,"unknown","down",NA,NA,"no","video"
"clear creek","2012-12-28","01:14:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-28","01:29:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-28","01:42:00",1,"not recorded",FALSE,"female","up",NA,NA,"no","video"
"clear creek","2012-12-28","01:42:00",1,"not recorded",FALSE,"male","up",NA,NA,"yes","video"
"clear creek","2012-12-28","01:44:00",1,"not recorded",FALSE,"male","up",NA,NA,"yes","video"
"clear creek","2012-12-28","01:46:00",1,"not recorded",FALSE,"female","up",NA,NA,"no","video"
"clear creek","2012-12-28","01:50:00",1,"not recorded",FALSE,"male","up",NA,NA,"yes","video"
"clear creek","2012-12-28","02:02:00",1,"not recorded",FALSE,"male","up",NA,NA,"yes","video"
"clear creek","2012-12-28","02:03:00",1,"not recorded",FALSE,"male","up",NA,NA,"yes","video"
"clear creek","2012-12-28","02:06:00",1,"not recorded",FALSE,"male","up",NA,NA,"yes","video"
"clear creek","2012-12-28","02:09:00",1,"not recorded",FALSE,"male","up",NA,NA,"yes","video"
"clear creek","2012-12-28","02:18:00",1,"not recorded",FALSE,"male","up",NA,NA,"yes","video"
"clear creek","2012-12-28","02:22:00",1,"not recorded",FALSE,"male","up",NA,NA,"yes","video"
"clear creek","2012-12-28","02:27:00",1,"not recorded",FALSE,"male","up",NA,NA,"yes","video"
"clear creek","2012-12-28","02:31:00",1,"not recorded",NA,"unknown","up",NA,NA,"yes","video"
"clear creek","2012-12-28","05:02:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-28","05:29:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-28","06:06:00",1,"not recorded",TRUE,"female","up",NA,NA,"yes","video"
"clear creek","2012-12-28","06:25:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-28","07:12:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-28","08:14:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-28","12:08:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-28","12:59:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-28","13:25:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-28","14:09:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-28","14:45:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
"clear creek","2012-12-28","16:05:00",1,"not recorded",FALSE,"male","up",NA,NA,"yes","video"
"clear creek","2012-12-28","16:19:00",1,"not recorded",FALSE,"male","up",NA,NA,"yes","video"
"clear creek","2012-12-28","20:00:00",1,"not recorded",NA,"unknown","up",NA,NA,"yes","video"
"clear creek","2012-12-28","20:47:00",1,"not recorded",FALSE,"male","up",NA,NA,"no","video"
