date,redd_id,reach,fish_on_redd,age,run,redd_measured,redd_width,redd_length,pre_redd_depth,redd_pit_depth,redd_tail_depth,pre_redd_substrate_class,redd_substrate_class,tail_substrate_class,velocity
2013-10-29,2013_1117,R1,NA,3,spring,TRUE,0.7620015240030481,2.743205486410973,0.27940055880111764,0.5334010668021336,0.25400050800101603,very coarse sand,very coarse sand,very coarse sand,NA
2013-09-30,2013_1119,R1,NA,2,spring,TRUE,1.6764033528067057,6.5786131572263145,0.63500127000254,0.7112014224028449,0.38100076200152405,very coarse sand,very coarse sand,very coarse sand,NA
2013-09-17,2013_1120,R1,NA,2,spring,TRUE,1.1684023368046736,2.54000508001016,0.5334010668021336,0.6604013208026417,0.38100076200152405,very coarse sand,very coarse sand,very coarse sand,NA
2013-09-17,2013_1120,R1,NA,2,spring,TRUE,1.1684023368046736,2.54000508001016,0.5334010668021336,0.6604013208026417,0.38100076200152405,very coarse sand,very coarse sand,very coarse sand,NA
2013-09-30,2013_1120,R1,NA,2,spring,TRUE,1.1684023368046736,2.54000508001016,0.5334010668021336,0.6604013208026417,0.38100076200152405,very coarse sand,very coarse sand,very coarse sand,NA
2013-10-29,2013_1120,R1,NA,3,spring,TRUE,1.1684023368046736,2.54000508001016,0.5334010668021336,0.6604013208026417,0.38100076200152405,very coarse sand,very coarse sand,very coarse sand,NA
2013-09-30,2013_1122,R1,NA,2,spring,TRUE,1.90500381000762,6.3246126492252985,0.40640081280162565,0.4572009144018288,0.30480060960121924,very coarse sand,very coarse sand,very coarse sand,NA
2013-09-30,2013_1123,R1,NA,2,spring,TRUE,2.1336042672085345,4.7498094996189995,0.40640081280162565,0.5588011176022353,0.25400050800101603,very coarse sand,very coarse sand,very coarse sand,2.2288390455686455
2013-09-30,2013_1124,R1,NA,2,spring,TRUE,1.2954025908051816,2.69240538481077,0.30480060960121924,0.40640081280162565,0.33020066040132084,very coarse sand,very coarse sand,very coarse sand,NA
2013-09-30,2013_1125,R1,NA,2,spring,TRUE,2.0066040132080265,5.359410718821438,0.27940055880111764,0.5334010668021336,0.17780035560071122,very coarse sand,very coarse sand,very coarse sand,NA
2013-09-30,2013_1126,R1,NA,2,spring,TRUE,2.1844043688087376,5.410210820421641,0.38100076200152405,0.5080010160020321,0.27940055880111764,very coarse sand,very coarse sand,very coarse sand,NA
2013-09-30,2013_1127,R1,NA,2,spring,TRUE,1.7780035560071121,4.089408178816358,0.38100076200152405,0.43180086360172726,0.20320040640081283,very coarse sand,very coarse sand,very coarse sand,2.913007993100793
2013-09-30,2013_1129,R1,NA,2,spring,TRUE,1.4224028448056898,4.673609347218695,0.4572009144018288,0.5588011176022353,0.25400050800101603,very coarse sand,very coarse sand,very coarse sand,NA
2013-10-29,2013_1130,R1,NA,2,spring,TRUE,2.108204216408433,4.978409956819914,NA,NA,NA,very coarse sand,very coarse sand,very coarse sand,NA
2013-09-30,2013_1131,R1,NA,2,spring,TRUE,2.921005842011684,6.5786131572263145,0.6096012192024385,0.7366014732029464,0.25400050800101603,very coarse sand,very coarse sand,very coarse sand,NA
2013-09-30,2013_1132,R1,NA,2,spring,TRUE,1.0922021844043688,5.461010922021845,0.4826009652019304,0.5080010160020321,0.15240030480060962,very coarse sand,very coarse sand,very coarse sand,NA
2013-09-30,2013_1133,R1,NA,2,spring,TRUE,1.854203708407417,5.156210312420625,0.35560071120142245,0.5080010160020321,0.43180086360172726,very coarse sand,very coarse sand,very coarse sand,NA
2013-09-17,2013_1135,R1,NA,2,spring,TRUE,1.5240030480060962,4.953009906019813,0.7366014732029464,0.7620015240030481,0.40640081280162565,very coarse sand,very coarse sand,very coarse sand,NA
2013-09-17,2013_1135,R1,NA,2,spring,TRUE,1.5240030480060962,4.953009906019813,0.7366014732029464,0.7620015240030481,0.40640081280162565,very coarse sand,very coarse sand,very coarse sand,NA
2013-09-30,2013_1135,R1,NA,2,spring,TRUE,1.5240030480060962,4.953009906019813,0.7366014732029464,0.7620015240030481,0.40640081280162565,very coarse sand,very coarse sand,very coarse sand,NA
2013-10-29,2013_1135,R1,NA,3,spring,TRUE,1.5240030480060962,4.953009906019813,0.7366014732029464,0.7620015240030481,0.40640081280162565,very coarse sand,very coarse sand,very coarse sand,NA
2013-09-30,2013_1136,R1,NA,2,spring,TRUE,2.3368046736093473,5.7150114300228605,0.63500127000254,0.63500127000254,0.35560071120142245,very coarse sand,very coarse sand,very coarse sand,1.8461981651189652
2013-10-29,2013_1138,R1,NA,3,spring,TRUE,0.9906019812039625,2.514605029210059,0.5842011684023368,0.63500127000254,0.43180086360172726,very coarse sand,very coarse sand,very coarse sand,NA
2013-09-17,2013_1139,R1,NA,2,spring,TRUE,2.921005842011684,4.521209042418085,0.5080010160020321,0.9398018796037593,0.4826009652019304,very coarse sand,very coarse sand,very coarse sand,NA
2013-09-17,2013_1139,R1,NA,2,spring,TRUE,2.921005842011684,4.521209042418085,0.5080010160020321,0.9398018796037593,0.4826009652019304,very coarse sand,very coarse sand,very coarse sand,NA
2013-09-30,2013_1139,R1,NA,2,spring,TRUE,2.921005842011684,4.521209042418085,0.5080010160020321,0.9398018796037593,0.4826009652019304,very coarse sand,very coarse sand,very coarse sand,NA
2013-10-29,2013_1139,R1,NA,3,spring,TRUE,2.921005842011684,4.521209042418085,0.5080010160020321,0.9398018796037593,0.4826009652019304,very coarse sand,very coarse sand,very coarse sand,NA
2013-10-29,2013_1141,R1,NA,4,spring,FALSE,NA,NA,NA,NA,NA,very coarse sand,very coarse sand,very coarse sand,NA
2013-09-17,2013_1143,R1,NA,2,spring,TRUE,0.9144018288036576,3.835407670815342,0.38100076200152405,0.5334010668021336,0.17780035560071122,very coarse sand,very coarse sand,very coarse sand,NA
2013-09-17,2013_1143,R1,NA,2,spring,TRUE,0.9144018288036576,3.835407670815342,0.38100076200152405,0.5334010668021336,0.17780035560071122,very coarse sand,very coarse sand,very coarse sand,NA
