date,reach
2008-06-03,R5B
2008-06-04,R6
2008-08-01,R5A
2008-08-18,R1
2008-08-18,R2
2008-08-20,R3
2008-08-21,R4
2008-08-21,R5A
2008-08-21,R5B
2008-08-21,R6
2008-09-09,R1
2008-09-09,R2
2008-09-10,R3
2008-09-10,R4
2008-09-11,R5A
2008-09-11,R5B
2008-09-12,R6
2008-09-23,R1
2008-09-23,R2
2008-09-24,R3
2008-09-24,R4
2008-09-25,R5A
2008-09-25,R5B
2008-10-07,R1
2008-10-07,R2
2008-10-08,R3
2008-10-08,R4
2008-10-09,R5A
2008-10-09,R5B
2008-10-20,R1
2008-10-20,R2
2008-10-21,R3
2008-10-21,R4
2008-10-22,R5A
2008-10-22,R5B
2008-11-05,R1
2008-11-05,R2
2008-11-06,R3
2008-11-07,R4
2008-11-07,R5A
2008-11-07,R5B
2009-08-19,R5
2009-08-20,R6
2009-08-24,R1
2009-08-25,R4
2009-08-25,R3
2009-08-25,R2
2009-08-27,R5B
2009-08-27,R5A
2009-08-28,R6
2009-09-14,R2
2009-09-14,R1
2009-09-15,R3
2009-09-16,R5B
2009-09-16,R5A
2009-09-16,R4
2009-09-17,R6
2009-09-28,R6
2009-09-29,R2
2009-09-29,R1
2009-09-30,R3
2009-10-01,R4
2009-10-02,R5B
2009-10-02,R5A
2009-10-26,R2
2009-10-26,R1
2009-10-27,R3
2009-10-28,R4
2009-10-29,R5B
2009-10-29,R5A
2010-05-17,R1
2010-05-18,R3
2010-05-18,R2
2010-05-19,R4
2010-05-19,R5
2010-05-21,R6
2010-06-01,R1
2010-06-02,R6
2010-06-02,R2
2010-06-03,R4
2010-06-03,R5
2010-06-03,R3
2010-06-15,R2
2010-06-15,R1
2010-06-16,R4
2010-06-16,R5
2010-06-16,R3
2010-06-17,R6
2010-08-18,R5A
2010-08-23,R2
2010-08-23,R1
2010-08-24,R3
2010-08-26,R6
2010-08-26,R4
2010-08-26,R5
2010-09-08,R2
2010-09-08,R1
2010-09-09,R4
2010-09-09,R5
2010-09-09,R3
2010-09-10,R6
2010-09-20,R2
2010-09-20,R1
2010-09-21,R3
2010-09-22,R4
2010-09-22,R5
2010-09-23,R6
2010-10-05,R2
2010-10-05,R1
2010-10-06,R3
2010-10-07,R5
2010-10-07,R4
2010-10-18,R1
2010-10-19,R2
2010-10-21,R5
2010-10-21,R4
2010-10-21,R3
2010-11-08,R1
2010-11-09,R3
2010-11-09,R2
2010-11-10,R4
2010-11-10,R5
2011-05-17,R2
2011-05-17,R1
2011-05-19,R5C
2011-05-19,R5B
2011-05-19,R5A
2011-05-19,R4
2011-05-19,R3
2011-05-20,R6
2011-05-31,R1
2011-06-01,R2
2011-06-02,R5C
2011-06-02,R5B
2011-06-02,R5A
2011-06-02,R4
2011-06-02,R3
2011-06-03,R6
2011-06-14,R1
2011-06-15,R3
2011-06-15,R2
2011-06-16,R5C
2011-06-16,R5B
2011-06-16,R5A
2011-06-16,R4
2011-06-17,R6
2011-08-17,R5B
2011-08-23,R2
2011-08-23,R1
2011-08-24,R4
2011-08-25,R5C
2011-08-25,R5B
2011-08-25,R5A
2011-08-25,R3
2011-08-26,R6
2011-09-06,R2
2011-09-06,R1
2011-09-07,R3
2011-09-08,R5C
2011-09-08,R5B
2011-09-08,R5A
2011-09-08,R4
2011-09-09,R6
2011-09-19,R1
2011-09-20,R3
2011-09-20,R2
2011-09-21,R4
2011-09-22,R5C
2011-09-22,R5B
2011-09-22,R5A
2011-09-23,R6
2011-10-04,R5C
2011-10-04,R5B
2011-10-04,R5A
2011-10-04,R4
2011-10-04,R3
2011-10-04,R2
2011-10-05,R1
2011-10-17,R1
2011-10-18,R2
2011-10-19,R3
2011-10-20,R5C
2011-10-20,R5B
2011-10-20,R5A
2011-10-20,R4
2011-10-31,R5C
2011-10-31,R5B
2011-10-31,R5A
2011-11-01,R4
2011-11-01,R3
2011-11-02,R2
2011-11-02,R1
2012-05-14,R2
2012-05-14,R1
2012-05-15,R5C
2012-05-15,R5B
2012-05-15,R5A
2012-05-15,R4
2012-05-15,R3
2012-05-16,R7
2012-05-16,R6
2012-05-29,R1
2012-05-30,R3
2012-05-30,R2
2012-05-31,R7
2012-05-31,R6
2012-05-31,R5C
2012-05-31,R5B
2012-05-31,R5A
2012-05-31,R4
2012-06-11,R1
2012-06-12,R2
2012-06-13,R3
2012-06-14,R6
2012-06-14,R5C
2012-06-14,R5B
2012-06-14,R5A
2012-06-14,R4
2012-06-15,R7
2012-08-17,R5B
2012-08-17,R5A
2012-08-20,R1
2012-08-21,R3
2012-08-21,R2
2012-08-22,R5C
2012-08-22,R5B
2012-08-22,R5A
2012-08-22,R4
2012-08-24,R7
2012-08-24,R6
2012-09-04,R2
2012-09-04,R1
2012-09-05,R5C
2012-09-05,R5B
2012-09-05,R5A
2012-09-05,R4
2012-09-05,R3
2012-09-06,R7
2012-09-06,R6
2012-09-17,R1
2012-09-19,R2
2012-09-20,R5C
2012-09-20,R5B
2012-09-20,R5A
2012-09-20,R4
2012-09-21,R3
2012-09-28,R6
2012-10-01,R1
2012-10-02,R2
2012-10-03,R3
2012-10-04,R4
2012-10-05,R5C
2012-10-05,R5B
2012-10-05,R5A
2012-10-15,R1
2012-10-16,R2
2012-10-17,R5C
2012-10-17,R5B
2012-10-17,R5A
2012-10-18,R4
2012-10-18,R3
2012-10-30,R1
2012-10-31,R2
2012-11-01,R5C
2012-11-01,R5B
2012-11-01,R5A
2012-11-01,R4
2012-11-02,R3
2013-04-01,R1
2013-04-02,R2
2013-04-03,R4
2013-04-03,R3
2013-04-04,R7
2013-04-04,R6
2013-04-04,R5ABC
2013-04-22,R2
2013-04-22,R1
2013-04-23,R3
2013-04-24,R4
2013-04-25,R6A
2013-04-25,R5ABC
2013-04-26,R6B
2013-04-26,R7
2013-06-17,R2
